Sub Boro Name,Borough,FIPS,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013
New York City,New York City,,0.14,0.22,0.12,0.25,0.10,0.12,0.37,0.18,49461,0.09,0.18,0.37,58012,0.09
The Bronx,The Bronx,,0.28,0.27,0.22,0.30,0.12,0.14,0.34,0.28,32058,0.12,0.28,0.34,33009,0.12
Manhattan,Manhattan,,0.11,0.17,0.09,0.21,0.10,0.12,0.29,0.15,66299,0.08,0.15,0.28,72190,0.07
Staten Island,Staten Island,,0.07,0.17,0.07,0.19,0.10,0.11,0.21,0.09,70578,0.08,0.10,0.20,69633,0.08
Brooklyn,Brooklyn,,0.15,0.23,0.13,0.27,0.11,0.13,0.37,0.20,42752,0.10,0.20,0.37,47520,0.09
Queens,Queens,,0.09,0.25,0.08,0.25,0.10,0.10,0.48,0.13,53572,0.08,0.12,0.48,56599,0.08
Riverdale / Kingsbridge,Bronx,3701,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,55119,0.12,0.12,0.30,60614,0.12
Williamsbridge / Baychester,Bronx,3702,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,43236,0.16,0.19,0.39,45633,0.14
Throgs Neck / Co-op City,Bronx,3703,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,53436,0.12,0.08,0.22,56059,0.09
Pelham Parkway,Bronx,3704,0.21,0.24,0.15,0.28,0.11,0.12,0.34,0.19,40745,0.15,0.17,0.34,43075,0.13
Morrisania / East Tremont,Bronx,3705,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Kingsbridge Heights / Mosholu,Bronx,3706,0.32,0.26,0.24,0.31,0.12,0.13,0.40,0.33,30646,0.17,0.34,0.43,29069,0.18
University Heights / Fordham,Bronx,3707,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,25951,0.20,0.39,0.44,24261,0.16
Highbridge / S. Concourse,Bronx,3708,0.37,0.27,0.26,0.34,0.12,0.14,0.38,0.40,22849,0.19,0.34,0.41,26387,0.15
Soundview / Parkchester,Bronx,3709,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Mott Haven / Hunts Point,Bronx,3710,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Washington Heights / Inwood,Manhattan,3801,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Morningside Heights / Hamilton Heights,Manhattan,3802,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Central Harlem,Manhattan,3803,0.23,0.28,0.20,0.30,0.13,0.16,0.25,0.23,35350,0.15,0.26,0.23,36917,0.11
East Harlem,Manhattan,3804,0.28,0.24,0.19,0.27,0.12,0.14,0.27,0.23,30900,0.14,0.30,0.24,26941,0.13
Upper East Side,Manhattan,3805,0.02,0.12,0.04,0.18,0.09,0.12,0.21,0.03,105217,0.06,0.03,0.22,107690,0.04
Upper West Side,Manhattan,3806,0.06,0.14,0.05,0.19,0.09,0.12,0.22,0.08,92160,0.06,0.06,0.25,99273,0.07
Chelsea / Clinton / Midtown,Manhattan,3807,0.07,0.15,0.05,0.20,0.10,0.13,0.26,0.07,83030,0.08,0.08,0.26,100635,0.06
Stuyvesant Town / Turtle Bay,Manhattan,3808,0.04,0.13,0.03,0.16,0.10,0.12,0.21,0.05,101548,0.07,0.05,0.20,108077,0.03
Lower East Side / Chinatown,Manhattan,3809,0.15,0.18,0.10,0.19,0.10,0.12,0.38,0.27,39162,0.07,0.29,0.34,40133,0.11
Greenwich Village / Financial District,Manhattan,3810,0.02,0.12,0.03,0.17,0.10,0.12,0.22,0.05,119866,0.05,0.04,0.24,125311,0.04
South Shore,Staten,3901,0.03,0.14,0.04,0.16,0.09,0.10,0.15,0.04,81322,0.08,0.06,0.14,85165,0.06
