Sub Boro Name,Borough,FIPS,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013
Mid-Island,Staten,3902,0.05,0.15,0.06,0.17,0.09,0.11,0.27,0.06,71058,0.07,0.11,0.25,68661,0.07
North Shore,Staten,3903,0.13,0.24,0.11,0.23,0.11,0.12,0.22,0.16,54206,0.10,0.15,0.22,60721,0.08
Williamsburg / Greenpoint,Brooklyn,4001,0.12,0.15,0.10,0.22,0.11,0.13,0.24,0.30,47003,0.09,0.21,0.25,52419,0.06
Bushwick,Brooklyn,4002,0.29,0.27,0.20,0.29,0.12,0.13,0.35,0.30,34142,0.15,0.23,0.38,43354,0.15
Bedford Stuyvesant,Brooklyn,4003,0.26,0.28,0.21,0.29,0.14,0.16,0.19,0.28,32334,0.18,0.32,0.20,37195,0.16
Brooklyn Heights / Fort Greene,Brooklyn,4004,0.13,0.18,0.09,0.23,0.11,0.14,0.20,0.14,62045,0.12,0.14,0.19,76040,0.09
Park Slope / Carroll Gardens,Brooklyn,4005,0.06,0.16,0.07,0.19,0.10,0.13,0.18,0.08,87293,0.08,0.09,0.17,101789,0.05
North Crown Heights / Prospect Heights,Brooklyn,4006,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,40511,0.14,0.26,0.30,39034,0.09
Brownsville / Ocean Hill,Brooklyn,4007,0.34,0.29,0.28,0.33,0.15,0.17,0.28,0.37,25766,0.19,0.33,0.31,27933,0.16
East New York / Starrett City,Brooklyn,4008,0.28,0.27,0.22,0.34,0.13,0.15,0.34,0.32,29857,0.13,0.26,0.35,36943,0.13
Flatlands / Canarsie,Brooklyn,4009,0.10,0.30,0.09,0.33,0.11,0.11,0.42,0.11,59616,0.12,0.09,0.38,66283,0.09
East Flatbush,Brooklyn,4010,0.16,0.36,0.16,0.41,0.11,0.13,0.52,0.14,44629,0.13,0.15,0.52,42666,0.11
South Crown Heights,Brooklyn,4011,0.20,0.32,0.16,0.37,0.12,0.14,0.45,0.18,37446,0.17,0.16,0.43,46294,0.14
Sunset Park,Brooklyn,4012,0.17,0.24,0.12,0.23,0.10,0.11,0.44,0.21,42544,0.08,0.28,0.49,45075,0.11
Bay Ridge,Brooklyn,4013,0.06,0.16,0.06,0.19,0.09,0.11,0.37,0.12,56541,0.10,0.13,0.39,58621,0.10
Borough Park,Brooklyn,4014,0.10,0.15,0.08,0.21,0.09,0.12,0.31,0.28,34374,0.08,0.28,0.30,40571,0.07
Flatbush,Brooklyn,4015,0.13,0.24,0.12,0.28,0.10,0.12,0.45,0.18,40470,0.11,0.21,0.43,42312,0.10
Sheepshead Bay / Gravesend,Brooklyn,4016,0.06,0.14,0.06,0.20,0.08,0.09,0.46,0.12,47610,0.09,0.12,0.46,51064,0.08
Bensonhurst,Brooklyn,4017,0.07,0.19,0.06,0.20,0.08,0.10,0.54,0.15,44464,0.10,0.14,0.55,47272,0.09
Coney Island,Brooklyn,4018,0.10,0.15,0.10,0.24,0.08,0.10,0.56,0.18,28106,0.13,0.19,0.54,30850,0.13
Astoria,Queens,4101,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,46716,0.11,0.16,0.40,50960,0.10
Jackson Heights,Queens,4102,0.14,0.32,0.14,0.32,0.09,0.10,0.63,0.18,46619,0.08,0.16,0.62,49181,0.07
Flushing / Whitestone,Queens,4103,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,49630,0.10,0.14,0.57,50490,0.07
Bayside / Little Neck,Queens,4104,0.02,0.19,0.03,0.16,0.08,0.08,0.42,0.08,77028,0.08,0.06,0.43,72158,0.07
Bellerose / Rosedale,Queens,4105,0.05,0.33,0.06,0.30,0.10,0.10,0.41,0.07,75363,0.10,0.07,0.41,76885,0.10
Hillcrest / Fresh Meadows,Queens,4106,0.08,0.23,0.05,0.23,0.09,0.09,0.44,0.13,53240,0.12,0.11,0.48,57531,0.09
Elmhurst / Corona,Queens,4107,0.14,0.31,0.12,0.28,0.09,0.10,0.70,0.22,45641,0.05,0.18,0.64,46489,0.07
Forest Hills / Rego Park,Queens,4108,0.04,0.18,0.04,0.22,0.08,0.09,0.50,0.05,65902,0.06,0.08,0.52,61654,0.06
Sunnyside / Woodside,Queens,4109,0.09,0.23,0.07,0.23,0.09,0.11,0.59,0.12,50105,0.07,0.12,0.56,61836,0.06
Middle Village / Ridgewood,Queens,4110,0.12,0.18,0.09,0.23,0.10,0.11,0.39,0.12,52416,0.09,0.10,0.38,58564,0.08
Kew Gardens / Woodhaven,Queens,4111,0.11,0.27,0.07,0.25,0.10,0.10,0.49,0.15,54855,0.12,0.15,0.49,62532,0.09
Jamaica,Queens,4112,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,50021,0.15,0.13,0.43,51449,0.15
Howard Beach / S. Ozone Park,Queens,4113,0.06,0.27,0.06,0.24,0.09,0.09,0.47,0.10,58536,0.11,0.08,0.46,62671,0.13
Rockaways,Queens,4114,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
