DATE,Total Population,Registered Mobile Bank Account,Commercial Bank Accounts per 1000 Adults
1/1/2012,25996449,3778374,455.461
1/1/2013,26607642,4393721,456.351
1/1/2014,27224472,7167542,501.158
1/1/2015,27849205,13120367,595.37
1/1/2016,28481946,19735098,554.728
1/1/2017,29121471,23947437,627.307
1/1/2018,29767108,32554346,
